positive,negative
She is singing one song,He is planting three shoes
They do not tow one car,They are bouncing one paper
He does not flush one toilet,She is running three cakes
Every day she drives one car,Every day she sings two flowers
Every day he rides one horse,Every day she drinks one swing
Last week she baked two cakes,Last week they scared two legs
Last week they framed three pictures,Last week they chopped two phones
He is scratching one itch,He does wear two songs
He does not staple two papers,They do swim three dogs
Every day they read three books,Last week they climbed one photo
She does not taste two foods,She does plant three keys
They do not catch three fish,She does write two cans
Every day they drink two waters,They do thank one candy
Every day she draws two sketches,Every day they flush three trees
He is folding two papers,Last week he hugged three shows
They are hunting three deer,Last week she called one shirt
He does not think two thoughts,He is walking two doors
Every day she rides one bicycle,They are typing two computers
Last week she baked two potatoes,Every day he cooks one house
Last week they played two games,Every day they walk three buttons
