positive,negative
post cost,rum numb
fought sought,pile trial
scheme theme,swap watch
stool fool,tough dull
soak oak,stroke soak
threat wheat,trial fall
thread spread,port warm
sweep creep,june noon
beef reef,wreath leap
wart smart,smart drought
dose pose,stir blur
touch couch,flight spite
glove stove,scheme cream
numb crumb,ghost pose
stood flood,grace fence
pool wool,ford rod
fought drought,stamp tomb
dull bull,wheel deal
strap gap,leap sweep
bull full,fault note
bluff puff,chase grace
shove glove,float note
stamp swamp,bride dried
pint hint,thief plead
quart wart,fall crawl
smooth tooth,gross post
brow cow,tense fence
goat float,soup loop
glide bride,pool tooth
plead spread,both stroke
spoon noon,stool rule
breath wreath,flight threat
neat wheat,bluff tough
mouth youth,halt fault
toss moss,dried stood
tomb comb,roast ghost
gross moss,odd rod
cow glow,rule blur
pile mile,june loop
swarm harm,warm form
both cloth,rum touch
ford word,glow stove
vase chase,wheel sneak
flood blood,cheek sneak
swap gap,youth hint
frost cost,thief beef
harm farm,cream swarm
scratch watch,quart port
