positive,negative
She is moving one box,Every day she press one button
He is popping three bubbles,Every day they naps two hours
Last week he picked two flowers,Every day they walks four blocks
She is playing two songs,She not cook two meals
She does not climb four stairs,He not wipe two shelves
Last week they spilled two drinks,He packing three bags
Every day he learns six words,She walking two blocks
Every day he tricks one teacher,She not pick one color
He does not water two plants,Last week she spill two cups
Last week she cooked one meal,Last week they cancel one meeting
Every day they play one game,Every day they stir three pot
He does not use four colors,Every day he waters two tree
Last week she mailed four letters,Every day he waves one flags
Every day she calls three friends,They do not lock four door
He is saving three cents,She does not bake two cookie
Every day they practice one time,They do not work two hour
She does not whisper three words,They are sharing one toys
Last week they kissed three times,He is chewing one bites
He is chasing one cat,Last week she fooled two mother
He does not clean two dishes,Last week he watched two show
